CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,Price,ln_Price
0.05077,18,3.64,0,0.538,6.575,65.2,4.09,3,296,15.575,396.9,5.465,24,3.17805383
0.05077,0,7.07,0,0.469,6.421,78.9,4.9671,3,254.75,17.8,396.9,9.14,21.6,3.072693315
0.05077,0,7.07,0,0.469,6.94,61.1,4.9671,3,254.75,17.8,392.83,5.465,31.025,3.434792358
0.05077,0,3.64,0,0.458,6.94,45.8,6.0622,3,254.75,18.7,394.63,5.465,31.025,3.434792358
0.06905,0,3.64,0,0.458,6.94,54.2,6.0622,3,254.75,18.7,396.9,5.465,31.025,3.434792358
0.05077,0,3.64,0,0.458,6.43,58.7,6.0622,3,254.75,18.7,394.12,5.465,28.7,3.356897123
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.575,395.6,12.43,22.9,3.131136911
0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.575,396.9,19.15,27.1,3.299533728
0.21124,12.5,7.87,0,0.524,5.712,97.3,6.0821,5,311,15.575,386.63,19.805,16.5,2.803360381
0.17004,12.5,7.87,0,0.524,6.004,85.9,6.267675,5,311,15.575,386.71,17.1,18.9,2.939161922
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.267675,5,311,15.575,392.52,19.805,15,2.708050201
0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.575,396.9,13.27,18.9,2.939161922
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.575,390.5,15.71,21.7,3.077312261
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,20.2,396.9,8.26,20.4,3.015534901
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,20.2,380.02,10.26,18.2,2.901421594
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,20.2,395.62,8.47,19.9,2.990719732
1.05393,0,8.14,0,0.538,5.935,32.2,4.4986,4,307,20.2,386.85,6.58,23.1,3.139832618
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,20.2,386.75,14.67,17.5,2.862200881
0.80271,0,8.14,0,0.538,5.712,36.6,3.7965,4,307,20.2,343.8575,11.69,20.2,3.005682604
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,20.2,390.95,11.28,18.2,2.901421594
1.25179,0,8.14,0,0.538,5.712,97.3,3.7979,4,307,20.2,376.57,19.805,13.975,2.637265207
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,20.2,392.53,13.83,19.6,2.975529566
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,20.2,396.9,18.72,15.2,2.721295428
0.98843,0,8.14,0,0.538,5.813,97.3,4.0952,4,307,20.2,394.54,19.805,14.5,2.674148649
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,20.2,394.33,16.3,15.6,2.747270914
0.84054,0,8.14,0,0.538,5.712,85.7,4.4546,4,307,20.2,343.8575,16.51,13.975,2.637265207
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307,20.2,376.88,14.81,16.6,2.809402695
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,20.2,343.8575,17.28,14.8,2.694627181
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,20.2,387.94,12.8,18.4,2.912350665
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307,20.2,380.23,11.98,21,3.044522438
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,20.2,360.17,19.805,13.975,2.637265207
1.35472,0,8.14,0,0.538,6.072,97.3,4.175,4,307,20.2,376.73,13.04,14.5,2.674148649
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,20.2,343.8575,19.805,13.975,2.637265207
1.15172,0,8.14,0,0.538,5.712,95,3.7872,4,307,20.2,358.77,18.35,13.975,2.637265207
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,20.2,343.8575,19.805,13.975,2.637265207
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279,19.2,396.9,9.68,18.9,2.939161922
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20,2.995732274
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21,3.044522438
0.17505,0,5.96,0,0.499,5.966,32.2,3.8473,5,279,19.2,393.43,10.13,24.7,3.206803244
0.05077,28,3.64,0,0.4365,6.595,32.2,5.4011,3,254.75,18.3,395.63,5.465,30.8,3.42751469
0.05077,28,3.64,0,0.4365,6.94,32.2,5.4011,3,254.75,18.3,395.62,5.465,31.025,3.434792358
0.12744,0,6.91,0,0.448,6.77,32.2,5.7209,3,254.75,17.9,385.41,5.465,26.6,3.280911216
0.1415,0,6.91,0,0.448,6.169,32.2,5.7209,3,254.75,17.9,383.37,5.81,25.3,3.230804396
